barcode	chromosome	start	stop	num.mark	seg.mean
TCGA-28-1747-01C-01D-0785-04	1	554268	3557603	370	-0.0318
TCGA-28-1747-01C-01D-0785-04	1	3561999	3561999	1	NA
TCGA-28-1747-01C-01D-0785-04	1	3571885	4587223	80	-0.6772
TCGA-28-1747-01C-01D-0785-04	1	4600008	12793618	825	8e-04
TCGA-28-1747-01C-01D-0785-04	1	12822189	12835156	2	-1.0818
TCGA-28-1747-01C-01D-0785-04	1	12840011	16719747	310	0.0026
TCGA-28-1747-01C-01D-0785-04	1	16799334	16960984	12	-0.4899
TCGA-28-1747-01C-01D-0785-04	1	16964267	105873580	7475	0.0064
TCGA-28-1747-01C-01D-0785-04	1	105900548	105931012	2	-0.7725
TCGA-28-1747-01C-01D-0785-04	1	105951526	143250692	1253	0.0186
TCGA-28-1747-01C-01D-0785-04	1	143623628	144003055	23	0.2731
TCGA-28-1747-01C-01D-0785-04	1	144093719	145860827	148	0.021
TCGA-28-1747-01C-01D-0785-04	1	146178378	147203277	12	0.4389
TCGA-28-1747-01C-01D-0785-04	1	147213294	150819451	378	0.0228
TCGA-28-1747-01C-01D-0785-04	1	150823073	150848509	5	-1.4845
TCGA-28-1747-01C-01D-0785-04	1	150852858	244022835	7967	0.0137
TCGA-28-1747-01C-01D-0785-04	1	244033014	244072132	6	-1.0736
TCGA-28-1747-01C-01D-0785-04	1	244085011	246750352	330	3e-04
TCGA-28-1747-01C-01D-0785-04	1	246755225	246874992	13	0.2808
TCGA-28-1747-01C-01D-0785-04	1	246880850	247190718	33	0.0093
TCGA-28-1747-01C-01D-0785-04	10	115544	38585875	3165	-0.6522
TCGA-28-1747-01C-01D-0785-04	10	38596435	42150759	15	-0.33
TCGA-28-1747-01C-01D-0785-04	10	42175348	88960512	3571	-0.6606
TCGA-28-1747-01C-01D-0785-04	10	89037622	89311273	13	-1.6447
TCGA-28-1747-01C-01D-0785-04	10	89338165	89523565	21	-0.6728
TCGA-28-1747-01C-01D-0785-04	10	89534158	89564118	5	-2.0346
TCGA-28-1747-01C-01D-0785-04	10	89573162	89643515	8	-0.6816
TCGA-28-1747-01C-01D-0785-04	10	89654955	89654955	1	NA
TCGA-28-1747-01C-01D-0785-04	10	89666662	89727363	8	-1.8503
TCGA-28-1747-01C-01D-0785-04	10	89751742	127563278	3515	-0.6435
TCGA-28-1747-01C-01D-0785-04	10	127578239	127603523	5	-0.1143
TCGA-28-1747-01C-01D-0785-04	10	127612803	135356671	708	-0.6567
TCGA-28-1747-01C-01D-0785-04	11	182372	134432265	11435	0.0035
TCGA-28-1747-01C-01D-0785-04	12	33854	9452803	1015	0.0149
TCGA-28-1747-01C-01D-0785-04	12	9528590	9585156	3	0.921
TCGA-28-1747-01C-01D-0785-04	12	9613074	10214090	83	0.0022
TCGA-28-1747-01C-01D-0785-04	12	10223028	10243959	5	0.633
TCGA-28-1747-01C-01D-0785-04	12	10249180	20766155	876	0.0246
TCGA-28-1747-01C-01D-0785-04	12	20772964	26472118	492	-0.659
TCGA-28-1747-01C-01D-0785-04	12	26483380	30482174	304	-0.0249
TCGA-28-1747-01C-01D-0785-04	12	30527277	32051488	119	0.4087
TCGA-28-1747-01C-01D-0785-04	12	32074999	56075802	2194	-0.015
TCGA-28-1747-01C-01D-0785-04	12	56084979	56147272	17	0.4593
TCGA-28-1747-01C-01D-0785-04	12	56152448	76874314	1499	-0.0134
TCGA-28-1747-01C-01D-0785-04	12	76884183	76916356	5	-0.7752
TCGA-28-1747-01C-01D-0785-04	12	76924858	77468691	35	-0.1529
TCGA-28-1747-01C-01D-0785-04	12	77518440	77780939	19	-0.7346
TCGA-28-1747-01C-01D-0785-04	12	77792283	77983572	22	-0.0529
TCGA-28-1747-01C-01D-0785-04	12	77995180	78132029	18	-0.7171
TCGA-28-1747-01C-01D-0785-04	12	78149780	78280053	15	-0.0347
TCGA-28-1747-01C-01D-0785-04	12	78289812	80375625	173	-0.6245
TCGA-28-1747-01C-01D-0785-04	12	80386095	132289090	4273	-0.0061
TCGA-28-1747-01C-01D-0785-04	13	18065953	114123862	7652	0.0061
TCGA-28-1747-01C-01D-0785-04	14	18149473	18504575	3	-0.2104
TCGA-28-1747-01C-01D-0785-04	14	18537177	21617995	373	0.0334
TCGA-28-1747-01C-01D-0785-04	14	21624686	22022060	49	0.2691
TCGA-28-1747-01C-01D-0785-04	14	22034704	33243479	977	0.0025
TCGA-28-1747-01C-01D-0785-04	14	33251460	33317408	8	0.4871
TCGA-28-1747-01C-01D-0785-04	14	33331288	73071404	3581	0.0079
TCGA-28-1747-01C-01D-0785-04	14	73075500	73092018	3	-0.7681
TCGA-28-1747-01C-01D-0785-04	14	73104572	104328529	2957	0.0022
TCGA-28-1747-01C-01D-0785-04	14	104334052	104378825	7	0.467
TCGA-28-1747-01C-01D-0785-04	14	104383693	105594189	157	-0.0124
TCGA-28-1747-01C-01D-0785-04	14	105602756	105630089	4	0.7825
TCGA-28-1747-01C-01D-0785-04	14	105643293	105923159	30	-0.0721
TCGA-28-1747-01C-01D-0785-04	14	105934843	106017453	9	0.2921
