barcode	chromosome	start	stop	num.mark	seg.mean
TCGA-06-0148-01A-05D-0238-04	1	554268	16884678	1594	-0.12
TCGA-06-0148-01A-05D-0238-04	1	16893620	16960984	6	-0.6899
TCGA-06-0148-01A-05D-0238-04	1	16964267	54836187	3720	-0.0716
TCGA-06-0148-01A-05D-0238-04	1	54844104	54864879	4	-0.5511
TCGA-06-0148-01A-05D-0238-04	1	54876167	62403458	617	0.0057
TCGA-06-0148-01A-05D-0238-04	1	62410535	62580343	22	-0.1252
TCGA-06-0148-01A-05D-0238-04	1	62607071	83369717	1506	0.0601
TCGA-06-0148-01A-05D-0238-04	1	83388826	83512962	6	0.4497
TCGA-06-0148-01A-05D-0238-04	1	83526148	102189788	1457	0.0506
TCGA-06-0148-01A-05D-0238-04	1	102198089	102234862	5	-0.8119
TCGA-06-0148-01A-05D-0238-04	1	102241226	102367930	6	-0.0647
TCGA-06-0148-01A-05D-0238-04	1	102401238	103080625	28	-0.7471
TCGA-06-0148-01A-05D-0238-04	1	103090980	103202562	12	0.1143
TCGA-06-0148-01A-05D-0238-04	1	103217569	107965940	197	-0.7521
TCGA-06-0148-01A-05D-0238-04	1	107977053	107986864	2	0.0351
TCGA-06-0148-01A-05D-0238-04	1	107997450	108416051	40	-0.7794
TCGA-06-0148-01A-05D-0238-04	1	108445371	109112540	48	0.0114
TCGA-06-0148-01A-05D-0238-04	1	109123517	116920924	765	-0.8457
TCGA-06-0148-01A-05D-0238-04	1	116937104	117001475	7	-0.4215
TCGA-06-0148-01A-05D-0238-04	1	117008723	120310583	263	-0.8289
TCGA-06-0148-01A-05D-0238-04	1	120321742	120874063	10	-0.4396
TCGA-06-0148-01A-05D-0238-04	1	120885791	121052394	9	-0.7351
TCGA-06-0148-01A-05D-0238-04	1	142721264	143815233	25	-0.3429
TCGA-06-0148-01A-05D-0238-04	1	143820820	150819451	542	-0.0452
TCGA-06-0148-01A-05D-0238-04	1	150823073	150852858	6	0.7301
TCGA-06-0148-01A-05D-0238-04	1	150857070	151027357	31	0.0131
TCGA-06-0148-01A-05D-0238-04	1	151033188	151036435	2	1.031
TCGA-06-0148-01A-05D-0238-04	1	151040463	194978218	3838	0.0158
TCGA-06-0148-01A-05D-0238-04	1	195005520	195062024	7	-0.3701
TCGA-06-0148-01A-05D-0238-04	1	195067764	246442698	4384	-0.0022
TCGA-06-0148-01A-05D-0238-04	1	246448361	246794522	42	0.2204
TCGA-06-0148-01A-05D-0238-04	1	246795223	246795223	1	NA
TCGA-06-0148-01A-05D-0238-04	1	246805521	246862029	9	-5.0542
TCGA-06-0148-01A-05D-0238-04	1	246874992	247190718	34	-0.0356
TCGA-06-0148-01A-05D-0238-04	10	115544	46371243	3436	-0.0071
TCGA-06-0148-01A-05D-0238-04	10	46384979	46568496	24	0.4014
TCGA-06-0148-01A-05D-0238-04	10	47010385	48272394	42	-0.0865
TCGA-06-0148-01A-05D-0238-04	10	48866929	48932353	3	0.5748
TCGA-06-0148-01A-05D-0238-04	10	49060081	52355735	269	-0.0263
TCGA-06-0148-01A-05D-0238-04	10	52379149	53744151	155	-0.7875
TCGA-06-0148-01A-05D-0238-04	10	53751130	53760976	3	0.2137
TCGA-06-0148-01A-05D-0238-04	10	53771863	58879300	291	-0.7825
TCGA-06-0148-01A-05D-0238-04	10	58914137	58942107	2	0.0782
TCGA-06-0148-01A-05D-0238-04	10	58996576	59204230	7	-0.7199
TCGA-06-0148-01A-05D-0238-04	10	59227608	69605109	787	0.0565
TCGA-06-0148-01A-05D-0238-04	10	69612724	70681821	129	-0.8559
TCGA-06-0148-01A-05D-0238-04	10	70692634	70697207	2	0.0359
TCGA-06-0148-01A-05D-0238-04	10	70712263	70733029	4	-0.1727
TCGA-06-0148-01A-05D-0238-04	10	70740236	71388605	64	-0.919
TCGA-06-0148-01A-05D-0238-04	10	71397498	71427410	5	-0.0593
TCGA-06-0148-01A-05D-0238-04	10	71438396	73133978	186	-0.9206
TCGA-06-0148-01A-05D-0238-04	10	73148412	87053108	1154	-0.0081
TCGA-06-0148-01A-05D-0238-04	10	87102001	87323263	10	-0.8424
TCGA-06-0148-01A-05D-0238-04	10	87331557	87385279	6	-0.0619
TCGA-06-0148-01A-05D-0238-04	10	87392747	88905200	167	-0.8276
TCGA-06-0148-01A-05D-0238-04	10	88917167	89199763	9	-0.0577
TCGA-06-0148-01A-05D-0238-04	10	89241227	100670683	1162	-0.8248
TCGA-06-0148-01A-05D-0238-04	10	100678817	100686787	2	-1.7395
TCGA-06-0148-01A-05D-0238-04	10	100695568	127578239	2404	-0.8532
TCGA-06-0148-01A-05D-0238-04	10	127584068	127603523	4	-0.3027
TCGA-06-0148-01A-05D-0238-04	10	127612803	135356671	708	-0.9375
TCGA-06-0148-01A-05D-0238-04	11	182372	3210753	394	-0.1503
TCGA-06-0148-01A-05D-0238-04	11	3270442	4977380	179	-7e-04
TCGA-06-0148-01A-05D-0238-04	11	4985131	5045344	10	0.2878
TCGA-06-0148-01A-05D-0238-04	11	5051332	8999282	511	0.0118
TCGA-06-0148-01A-05D-0238-04	11	9008030	9024893	2	-0.6742
TCGA-06-0148-01A-05D-0238-04	11	9031331	16032139	605	-4e-04
TCGA-06-0148-01A-05D-0238-04	11	16041764	16743927	58	0.142
TCGA-06-0148-01A-05D-0238-04	11	16753948	17379757	66	-0.0093
TCGA-06-0148-01A-05D-0238-04	11	17387830	17699251	34	-0.1676
TCGA-06-0148-01A-05D-0238-04	11	17707715	35306746	1291	0.0321
TCGA-06-0148-01A-05D-0238-04	11	35313233	35588181	26	0.5321
TCGA-06-0148-01A-05D-0238-04	11	35597621	40129934	213	0.0443
TCGA-06-0148-01A-05D-0238-04	11	40138697	40368089	23	-0.8079
TCGA-06-0148-01A-05D-0238-04	11	40385302	46977804	494	-0.0224
TCGA-06-0148-01A-05D-0238-04	11	46988441	47426717	60	0.421
TCGA-06-0148-01A-05D-0238-04	11	47433241	50256252	201	0.0037
TCGA-06-0148-01A-05D-0238-04	11	50323907	50337734	3	-0.782
TCGA-06-0148-01A-05D-0238-04	11	50638770	55118214	45	0.0622
TCGA-06-0148-01A-05D-0238-04	11	55124730	55207305	13	0.3317
TCGA-06-0148-01A-05D-0238-04	11	55225136	70304714	1863	-0.0659
TCGA-06-0148-01A-05D-0238-04	11	70313623	70866286	57	-0.2259
TCGA-06-0148-01A-05D-0238-04	11	70876072	75572773	514	-0.0419
TCGA-06-0148-01A-05D-0238-04	11	75577113	75609104	6	-0.3927
TCGA-06-0148-01A-05D-0238-04	11	75617787	133741308	4715	0.0155
TCGA-06-0148-01A-05D-0238-04	11	133748832	134432265	52	-0.1417
TCGA-06-0148-01A-05D-0238-04	12	33854	9452803	1015	-0.0543
TCGA-06-0148-01A-05D-0238-04	12	9528590	9585156	3	-2.1717
TCGA-06-0148-01A-05D-0238-04	12	9613074	11393473	208	0.0362
TCGA-06-0148-01A-05D-0238-04	12	11404653	11430887	4	-0.4161
TCGA-06-0148-01A-05D-0238-04	12	11444721	87210725	6075	0.0299
TCGA-06-0148-01A-05D-0238-04	12	87246590	89920257	126	-0.7721
TCGA-06-0148-01A-05D-0238-04	12	89934159	126503578	3192	-0.0206
TCGA-06-0148-01A-05D-0238-04	12	126550655	129982824	293	-0.9047
TCGA-06-0148-01A-05D-0238-04	12	129992892	132289090	251	-0.1365
TCGA-06-0148-01A-05D-0238-04	13	18065953	26274589	789	-0.006
TCGA-06-0148-01A-05D-0238-04	13	26314494	26412865	4	-0.4234
TCGA-06-0148-01A-05D-0238-04	13	26437381	55938937	2731	0.0267
TCGA-06-0148-01A-05D-0238-04	13	55971626	56026063	4	-0.6155
TCGA-06-0148-01A-05D-0238-04	13	56053962	56650373	23	0.0713
TCGA-06-0148-01A-05D-0238-04	13	56658479	56673183	3	-6.3941
TCGA-06-0148-01A-05D-0238-04	13	56691355	58197982	70	0.1456
TCGA-06-0148-01A-05D-0238-04	13	58239984	102149829	3113	-0.7799
TCGA-06-0148-01A-05D-0238-04	13	102158145	114123862	915	-0.0264
TCGA-06-0148-01A-05D-0238-04	14	18149473	19490630	40	-0.6026
TCGA-06-0148-01A-05D-0238-04	14	19497023	21092948	263	-0.0127
TCGA-06-0148-01A-05D-0238-04	14	21096689	21100249	2	-0.9937
TCGA-06-0148-01A-05D-0238-04	14	21108698	21391295	40	-0.0726
TCGA-06-0148-01A-05D-0238-04	14	21392430	21569676	25	0.1123
TCGA-06-0148-01A-05D-0238-04	14	21575909	22034704	56	0.3195
TCGA-06-0148-01A-05D-0238-04	14	22046097	32983074	944	0.014
TCGA-06-0148-01A-05D-0238-04	14	32992471	33182855	25	0.5745
TCGA-06-0148-01A-05D-0238-04	14	33192364	44869278	854	0.0485
TCGA-06-0148-01A-05D-0238-04	14	44891192	45077116	7	-0.6105
TCGA-06-0148-01A-05D-0238-04	14	45096539	69070555	2293	0.0239
TCGA-06-0148-01A-05D-0238-04	14	69078818	69078818	1	NA
TCGA-06-0148-01A-05D-0238-04	14	69088190	69092211	2	0.6218
TCGA-06-0148-01A-05D-0238-04	14	69098569	104044993	3348	-0.0361
TCGA-06-0148-01A-05D-0238-04	14	104059564	104509603	77	5.417
TCGA-06-0148-01A-05D-0238-04	14	104517522	105118885	86	-0.1224
TCGA-06-0148-01A-05D-0238-04	14	105128688	105178535	7	-0.8564
TCGA-06-0148-01A-05D-0238-04	14	105184425	105845658	72	-0.137
TCGA-06-0148-01A-05D-0238-04	14	105857193	105881279	4	-1.5278
TCGA-06-0148-01A-05D-0238-04	14	105898674	106349756	50	-0.0041
TCGA-06-0148-01A-05D-0238-04	15	18362555	18683110	8	-0.3814
TCGA-06-0148-01A-05D-0238-04	15	18722595	18810004	5	-0.0827
TCGA-06-0148-01A-05D-0238-04	15	18835660	18884436	5	0.4791
TCGA-06-0148-01A-05D-0238-04	15	19109124	19465359	31	-0.0076
TCGA-06-0148-01A-05D-0238-04	15	19537035	20079935	27	0.5643
