barcode	chromosome	start	stop	num.mark	seg.mean
TCGA-12-3644-01A-01D-0914-02	1	554268	72533856	13091	-0.0721
TCGA-12-3644-01A-01D-0914-02	1	72550248	72574479	3	2.2666
TCGA-12-3644-01A-01D-0914-02	1	72602597	150823073	7705	-0.0389
TCGA-12-3644-01A-01D-0914-02	1	150839754	150848509	3	-1.9813
TCGA-12-3644-01A-01D-0914-02	1	150857070	167483267	2981	-0.0572
TCGA-12-3644-01A-01D-0914-02	1	167493768	167507898	8	-0.557
TCGA-12-3644-01A-01D-0914-02	1	167523140	177649952	1908	-0.0105
TCGA-12-3644-01A-01D-0914-02	1	177651166	177662982	3	-0.6995
TCGA-12-3644-01A-01D-0914-02	1	177665329	200598243	3163	0.0109
TCGA-12-3644-01A-01D-0914-02	1	200600795	200646028	8	-0.4677
TCGA-12-3644-01A-01D-0914-02	1	200654714	247186514	8195	-0.0332
TCGA-12-3644-01A-01D-0914-02	10	126361	53049511	7128	-0.7952
TCGA-12-3644-01A-01D-0914-02	10	53055632	53075601	8	-3.1165
TCGA-12-3644-01A-01D-0914-02	10	53079868	105139833	8517	-0.774
TCGA-12-3644-01A-01D-0914-02	10	105140903	105203680	20	0.0674
TCGA-12-3644-01A-01D-0914-02	10	105211963	135286023	4567	-0.7879
TCGA-12-3644-01A-01D-0914-02	11	190215	134432265	20690	-0.0669
TCGA-12-3644-01A-01D-0914-02	12	59839	9523923	1814	-0.0798
TCGA-12-3644-01A-01D-0914-02	12	9528590	9554149	4	-4.691
TCGA-12-3644-01A-01D-0914-02	12	9555181	9610054	7	-1.0957
TCGA-12-3644-01A-01D-0914-02	12	9626736	31140219	3384	-0.0361
TCGA-12-3644-01A-01D-0914-02	12	31169263	31246624	12	-0.4663
TCGA-12-3644-01A-01D-0914-02	12	31248212	132289090	15176	-0.0508
TCGA-12-3644-01A-01D-0914-02	13	18065953	18345990	4	-0.1342
TCGA-12-3644-01A-01D-0914-02	13	18354969	31424269	1963	-0.8051
TCGA-12-3644-01A-01D-0914-02	13	31426287	31436314	3	-2.3995
TCGA-12-3644-01A-01D-0914-02	13	31441218	94099827	6902	-0.7466
TCGA-12-3644-01A-01D-0914-02	13	94111272	114114513	3005	-0.0495
TCGA-12-3644-01A-01D-0914-02	14	18149473	19323579	17	-0.1654
TCGA-12-3644-01A-01D-0914-02	14	19330937	19380994	4	-0.6395
TCGA-12-3644-01A-01D-0914-02	14	19388122	21569312	437	-0.0549
TCGA-12-3644-01A-01D-0914-02	14	21569676	22046097	136	0.1914
TCGA-12-3644-01A-01D-0914-02	14	22052799	106349756	12540	-0.0484
TCGA-12-3644-01A-01D-0914-02	15	18362555	20249886	92	-0.7626
TCGA-12-3644-01A-01D-0914-02	15	20307869	100282819	12576	-0.0718
TCGA-12-3644-01A-01D-0914-02	16	36766	76925748	9382	-0.0822
TCGA-12-3644-01A-01D-0914-02	16	76929598	76938723	7	1.0492
TCGA-12-3644-01A-01D-0914-02	16	76944661	88675835	2004	-0.0833
TCGA-12-3644-01A-01D-0914-02	17	29169	15727076	3038	-0.0977
TCGA-12-3644-01A-01D-0914-02	17	15731356	15737241	3	-1.9096
TCGA-12-3644-01A-01D-0914-02	17	15742071	41486550	4513	-0.0877
TCGA-12-3644-01A-01D-0914-02	17	41487991	41570512	18	0.2579
TCGA-12-3644-01A-01D-0914-02	17	41572001	78636731	6399	-0.0786
TCGA-12-3644-01A-01D-0914-02	18	4316	76110964	10177	-0.0554
TCGA-12-3644-01A-01D-0914-02	19	210395	40539029	5290	-0.1044
TCGA-12-3644-01A-01D-0914-02	19	40543992	40556205	3	-2.2951
TCGA-12-3644-01A-01D-0914-02	19	40562762	63787171	4589	-0.1143
TCGA-12-3644-01A-01D-0914-02	2	20341	241259321	33765	-0.0412
TCGA-12-3644-01A-01D-0914-02	2	241297674	241347032	11	0.4048
TCGA-12-3644-01A-01D-0914-02	2	241362567	242717016	217	-0.1178
TCGA-12-3644-01A-01D-0914-02	20	18580	1506379	262	-0.114
TCGA-12-3644-01A-01D-0914-02	20	1511632	1531162	9	0.5056
TCGA-12-3644-01A-01D-0914-02	20	1544485	62379059	9379	-0.0773
TCGA-12-3644-01A-01D-0914-02	21	9896630	10057408	11	-0.2332
TCGA-12-3644-01A-01D-0914-02	21	10062378	10167413	12	0.162
TCGA-12-3644-01A-01D-0914-02	21	13334960	14399547	32	-0.272
TCGA-12-3644-01A-01D-0914-02	21	14402228	46914686	4859	-0.0555
TCGA-12-3644-01A-01D-0914-02	22	14866086	22677959	1206	-0.0926
TCGA-12-3644-01A-01D-0914-02	22	22686690	22720195	12	-4.1272
TCGA-12-3644-01A-01D-0914-02	22	22736990	49565816	4944	-0.1016
TCGA-12-3644-01A-01D-0914-02	3	39066	73125651	12526	0.4152
TCGA-12-3644-01A-01D-0914-02	3	73132549	73140075	4	-0.2787
TCGA-12-3644-01A-01D-0914-02	3	73142346	75653844	243	0.4508
TCGA-12-3644-01A-01D-0914-02	3	75787094	76019295	17	-0.0161
TCGA-12-3644-01A-01D-0914-02	3	76042344	163987457	11853	0.4358
TCGA-12-3644-01A-01D-0914-02	3	163997228	164086905	6	1.4203
TCGA-12-3644-01A-01D-0914-02	3	164101776	174730888	1483	0.4528
TCGA-12-3644-01A-01D-0914-02	3	174732977	174767241	13	1.1933
TCGA-12-3644-01A-01D-0914-02	3	174775059	196822133	3568	0.428
TCGA-12-3644-01A-01D-0914-02	3	196904349	196961238	14	-0.3189
TCGA-12-3644-01A-01D-0914-02	3	196966631	199379566	435	0.3345
TCGA-12-3644-01A-01D-0914-02	4	41413	53781	5	-0.0471
TCGA-12-3644-01A-01D-0914-02	4	62447	3502813	678	-0.7927
TCGA-12-3644-01A-01D-0914-02	4	3543429	3574070	11	-0.2198
TCGA-12-3644-01A-01D-0914-02	4	3589684	3842119	23	-0.7654
TCGA-12-3644-01A-01D-0914-02	4	3873353	4080112	4	-0.1163
TCGA-12-3644-01A-01D-0914-02	4	4240948	8979869	899	-0.7592
TCGA-12-3644-01A-01D-0914-02	4	9040536	9410429	10	-0.26
TCGA-12-3644-01A-01D-0914-02	4	9416436	68905670	6150	-0.7469
TCGA-12-3644-01A-01D-0914-02	4	69057735	69165814	14	-0.0736
TCGA-12-3644-01A-01D-0914-02	4	69643272	190652522	16509	-0.7341
TCGA-12-3644-01A-01D-0914-02	4	190676708	190924564	19	-0.3137
TCGA-12-3644-01A-01D-0914-02	4	190940021	191027816	11	-0.9257
TCGA-12-3644-01A-01D-0914-02	4	191053785	191133609	8	-0.1398
TCGA-12-3644-01A-01D-0914-02	5	75149	763494	107	-0.1158
TCGA-12-3644-01A-01D-0914-02	5	771310	873365	10	-0.6755
TCGA-12-3644-01A-01D-0914-02	5	873416	68862665	8078	-0.0474
TCGA-12-3644-01A-01D-0914-02	5	68864742	70422297	9	-0.7385
TCGA-12-3644-01A-01D-0914-02	5	70622715	180644810	15332	-0.0381
TCGA-12-3644-01A-01D-0914-02	6	97634	32586131	5179	-0.074
TCGA-12-3644-01A-01D-0914-02	6	32593151	32631315	6	-1.7447
TCGA-12-3644-01A-01D-0914-02	6	32634977	54035000	3743	-0.0642
TCGA-12-3644-01A-01D-0914-02	6	54037199	54042734	3	-4.8676
TCGA-12-3644-01A-01D-0914-02	6	54045472	78983276	2787	-0.0077
TCGA-12-3644-01A-01D-0914-02	6	79024557	79091850	8	-1.019
TCGA-12-3644-01A-01D-0914-02	6	79101978	165640218	12385	-0.0268
TCGA-12-3644-01A-01D-0914-02	6	165645537	165657596	3	1.534
TCGA-12-3644-01A-01D-0914-02	6	165664947	170762955	770	-0.0892
TCGA-12-3644-01A-01D-0914-02	7	140213	141408013	21112	0.437
TCGA-12-3644-01A-01D-0914-02	7	141413352	141440184	11	-4.0445
TCGA-12-3644-01A-01D-0914-02	7	141442231	141687978	49	0.4163
TCGA-12-3644-01A-01D-0914-02	7	141705163	141714168	4	-2.7822
TCGA-12-3644-01A-01D-0914-02	7	141720324	158811268	3015	0.4031
TCGA-12-3644-01A-01D-0914-02	8	166814	11943616	1936	-0.083
TCGA-12-3644-01A-01D-0914-02	8	12276178	12285464	3	-1.0428
TCGA-12-3644-01A-01D-0914-02	8	12448374	39345557	3742	-0.0623
TCGA-12-3644-01A-01D-0914-02	8	39352361	39505256	29	0.7732
TCGA-12-3644-01A-01D-0914-02	8	39511632	146264846	13450	-0.0448
TCGA-12-3644-01A-01D-0914-02	9	153131	140241876	15877	-0.0596
TCGA-12-3644-01A-01D-0914-02	X	2719027	76992219	5700	0.8275
TCGA-12-3644-01A-01D-0914-02	X	76998610	77010018	3	-1.345
TCGA-12-3644-01A-01D-0914-02	X	77014050	154037006	5588	0.8469
TCGA-12-3644-01A-01D-0914-02	X	154050185	154078819	3	1.8398
TCGA-12-3644-01A-01D-0914-02	X	154086636	154582414	44	0.8303
TCGA-12-3644-01A-01D-0914-02	Y	2710450	3223585	53	-4.3495
TCGA-12-3644-01A-01D-0914-02	Y	3318461	6577257	76	-1.1096
TCGA-12-3644-01A-01D-0914-02	Y	6652868	10475426	361	-4.0804
TCGA-12-3644-01A-01D-0914-02	Y	10480759	10639731	12	-0.9634
TCGA-12-3644-01A-01D-0914-02	Y	10645500	12593244	12	-2.1943
TCGA-12-3644-01A-01D-0914-02	Y	12598397	12999095	32	-3.6967
TCGA-12-3644-01A-01D-0914-02	Y	13002006	13035511	11	-1.6172
TCGA-12-3644-01A-01D-0914-02	Y	13052633	23283689	691	-4.2065
TCGA-12-3644-01A-01D-0914-02	Y	26870361	57440809	28	-1.4184
